closing_date,year,period_type,dividend_value
2019-07-11,2018,full year,232.0
2018-07-12,2017,full year,231.0
2017-07-13,2016,full year,233.0
2016-07-18,2015,full year,222.0
2015-07-08,2014,full year,56.27
2014-07-09,2013,full year,78.1
,2012,full year,0.0
,2011,full year,0.0
2011-03-31,2010,full year,197.94
2010-05-11,2009,full year,49.44
2009-05-08,2008,full year,20.16
2008-05-08,2007,full year,46.982
2007-04-14,2006,full year,39.77
,2005,full year,0.0
2005-05-02,2004,full year,11.7774
2004-05-03,2003,full year,12.1315
