closing_date,year,period_type,dividend_value
2025-05-05,2024,full year,0.22
2024-09-30,2024,half year,0.22
2024-05-06,2023,full year,0.22
2023-10-09,2023,half year,0.22
2023-05-10,2022,full year,0.22
2022-08-29,2022,half year,0.11
2022-06-14,2021,full year,0.11
2021-06-07,2020,full year,0.22
2020-12-11,2020,9 months,0.11
2020-06-08,2019,full year,0.11
2019-06-10,2018,full year,0.11
2018-06-04,2017,full year,0.11
2017-05-31,2016,full year,0.11
2016-06-07,2015,full year,0.11
2015-07-03,2014,full year,0.11
2014-07-07,2013,full year,0.11
2013-03-07,2012,full year,0.11
2012-03-11,2011,full year,0.11
2011-03-10,2010,full year,0.11
